,Date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Tour,stage,Arrival,Departure,Distance,ProfileScore,Race ranking,Startlist quality score,Vert. meters
45,08-19,0.3374233128834448,0.5355555555555505,0.40985915492957553,0.09292035398230082,0.8931357254290172,0.47948717948717895,0.3547445255473455,vuelta,Stage 1 (TTT) | Utrecht - Utrecht,Utrecht,Utrecht,23.2 km,0.0,28,584,37.0
46,08-30,0.2319018404907972,0.4711111111111184,0.4507042253521121,0.12389380530973439,0.6755070202808112,0.6512820512820527,0.3693430656937657,vuelta,Stage 10 (ITT) | Elche - Alicante,Alicante,Elche,31.1 km,2.0,28,584,177.0
47,08-31,0.23680981595091852,0.4622222222222205,0.4169014084507124,0.042772861356932076,0.6053042121684867,0.7179487179487181,0.5328467153284621,vuelta,Stage 11 | ElPozo Alimentación - Cabo de Gata,Cabo de Gata,ElPozo Alimentación,193 km,40.0,28,584,1601.0
48,09-01,0.09202453987729801,0.3355555555555466,0.3521126760563413,0.0,0.45553822152886125,0.623076923076925,0.6686131386860272,vuelta,Stage 12 | Salobreña - Peñas Blancas. Estepona,Peñas Blancas. Estepona,Salobreña,195.5 km,274.0,28,584,3262.0
49,09-02,0.1141104294478558,0.1888888888888888,0.36901408450703743,0.19469026548672566,0.49687987519500787,0.5000000000000016,0.7138686131384909,vuelta,Stage 13 | Ronda - Montilla,Montilla,Ronda,171 km,50.0,28,584,1703.0
50,09-03,0.32760736196320656,0.35777777777777786,0.507042253521122,0.00442477876106194,0.5046801872074884,0.3615384615384619,0.5313868613138067,vuelta,Stage 14 | Montoro - Sierra de La Pandera,Sierra de La Pandera,Montoro,160.3 km,285.0,28,584,3337.0
51,09-04,0.455214723926381,0.6866666666666714,0.5295774647887349,0.0,0.5421216848673948,0.45897435897436045,0.3839416058394473,vuelta,Stage 15 | Martos - Sierra Nevada,Sierra Nevada,Martos,148.1 km,429.0,28,584,4052.0
52,09-06,0.17791411042943647,0.41777777777777597,0.3436619718309891,0.0,0.93603744149766,0.5435897435897467,0.6423357664230037,vuelta,Stage 16 | Sanlúcar de Barrameda - Tomares,Tomares,Sanlúcar de Barrameda,188.9 km,19.0,28,584,1002.0
53,09-07,0.16809815950921,0.4022222222222229,0.31690140845070425,0.008849557522123864,0.9344773790951639,0.5564102564102611,0.5810218978101285,vuelta,Stage 17 | Aracena - Monasterio de Tentudía,Monasterio de Tentudía,Aracena,160 km,160.0,28,584,2737.0
54,09-08,0.21472392638036333,0.37999999999999784,0.39999999999999775,0.00442477876106194,0.9149765990639628,0.5410256410256353,0.3970802919710462,vuelta,Stage 18 | Trujillo - Alto del Piornal,Alto del Piornal,Trujillo,191.7 km,206.0,28,584,3625.0
55,09-09,0.27361963190183797,0.4733333333333355,0.42535211267605555,0.2787610619469029,0.8291731669266771,0.4564102564102523,0.1343065693429763,vuelta,Stage 19 | Talavera de la Reina - Talavera de la Reina,Talavera de la Reina,Talavera de la Reina,132.7 km,108.0,28,584,2278.0
56,08-20,0.47975460122699704,0.6600000000000009,0.5492957746478931,0.007374631268436567,0.8923556942277693,0.25384615384615605,0.4496350364965706,vuelta,Stage 2 | 's-Hertogenbosch - Utrecht,Utrecht,'s-Hertogenbosch,175.1 km,9.0,28,584,498.0
57,09-10,0.22944785276073767,0.45555555555555316,0.3859154929577445,0.10766961651917398,0.5475819032761311,0.5230769230769232,0.26715328467144667,vuelta,Stage 20 | Moralzarzal - Puerto de Navacerrada,Puerto de Navacerrada,Moralzarzal,175.5 km,226.0,28,584,3983.0
58,09-11,0.27852760736196364,0.42444444444443263,0.4070422535211334,0.026548672566371712,1.0,0.5897435897435996,0.35182481751831707,vuelta,Stage 21 | Las Rozas - Madrid,Madrid,Las Rozas,100.5 km,11.0,28,584,871.0
59,08-21,0.5779141104294481,0.7133333333333343,0.5647887323943609,0.04129793510324479,0.4758190327613105,0.4230769230769251,0.4919708029197071,vuelta,Stage 3 | Breda - Breda,Breda,Breda,193.2 km,0.0,28,584,237.0
60,08-23,0.46503067484662053,0.6488888888888908,0.5281690140845128,0.002949852507374619,0.5756630265210608,0.7153846153846128,0.515328467153196,vuelta,Stage 4 | Vitoria-Gasteiz - Laguardia,Laguardia,Vitoria-Gasteiz,153.5 km,127.0,28,584,2306.0
61,08-24,0.36932515337423555,0.5266666666666655,0.5014084507042272,0.0442477876106194,0.5752730109204369,0.5384615384615405,0.49197080291979006,vuelta,Stage 5 | Irún - Bilbao,Bilbao,Irún,187 km,168.0,28,584,2985.0
62,08-25,0.46257668711656447,0.5600000000000003,0.5591549295774649,0.01327433628318582,0.41653666146645874,0.8205128205128205,0.27153284671535444,vuelta,Stage 6 | Bilbao - Ascensión al Pico Jano. San Miguel de Aguayo,Ascensión al Pico Jano. San Miguel de Aguayo,Bilbao,180 km,292.0,28,584,4076.0
63,08-26,0.501840490797547,0.5244444444444439,0.5830985915492994,0.19174041297935074,0.4399375975039002,0.5948717948717988,0.3021897810217796,vuelta,Stage 7 | Camargo - Cistierna,Cistierna,Camargo,190.1 km,108.0,28,584,3178.0
64,08-27,0.543558282208589,0.7044444444444444,0.6098591549295778,0.007374631268436567,0.4851794071762871,0.5717948717948715,0.25985401459852703,vuelta,Stage 8 | La Pola Llaviana/Pola de Laviana - Colláu Fancuaya,Colláu Fancuaya,La Pola Llaviana/Pola de Laviana,154.5 km,315.0,28,584,3743.0
65,08-28,0.48711656441717915,0.6044444444444426,0.6070422535211301,0.06342182890855452,0.39157566302652114,0.49743589743589745,0.20729927007282006,vuelta,Stage 9 | Villaviciosa - Les Praeres. Nava,Les Praeres. Nava,Villaviciosa,175.5 km,236.0,28,584,3698.0
